dataset,split,seed,case_id,alpha,threshold,box_scale
Kvasir-120,kvasir_val50,20260522,cju0s690hkp960855tjuaqvv0,0.7526059746742249,0.5794469118118286,2.1460464000701904
Kvasir-120,kvasir_val50,20260522,cju0sr5ghl0nd08789uzf1raf,0.7507442831993103,0.5810471773147583,2.20717453956604
Kvasir-120,kvasir_val50,20260522,cju0sxqiclckk08551ycbwhno,0.7524237632751465,0.5796958208084106,2.1558637619018555
Kvasir-120,kvasir_val50,20260522,cju0t4oil7vzk099370nun5h9,0.7481552958488464,0.5820910930633545,2.244802236557007
Kvasir-120,kvasir_val50,20260522,cju0tl3uz8blh0993wxvn7ly3,0.7527135610580444,0.5792337656021118,2.139439105987549
Kvasir-120,kvasir_val50,20260522,cju0u2g7pmnux0801vkk47ivj,0.7494968175888062,0.5816106796264648,2.228269100189209
Kvasir-120,kvasir_val50,20260522,cju0u82z3cuma0835wlxrnrjv,0.7495816946029663,0.5815949440002441,2.2270123958587646
Kvasir-120,kvasir_val50,20260522,cju0ue769mxii08019zqgdbxn,0.752518355846405,0.5795750021934509,2.1509761810302734
Kvasir-120,kvasir_val50,20260522,cju0vtox5ain6099360pu62rp,0.7524363994598389,0.5796976089477539,2.1551969051361084
Kvasir-120,kvasir_val50,20260522,cju13cgqmnhwn0988yrainhcp,0.7516517639160156,0.580489993095398,2.184987783432007
Kvasir-120,kvasir_val50,20260522,cju13fwthn9mq0835gacxgy01,0.7518694996833801,0.5803110599517822,2.1781482696533203
Kvasir-120,kvasir_val50,20260522,cju13hp5rnbjx0835bf0jowgx,0.7517673373222351,0.580394446849823,2.1814520359039307
Kvasir-120,kvasir_val50,20260522,cju14g8o4xui30878gkgbrvqj,0.7526528239250183,0.5793667435646057,2.143235683441162
Kvasir-120,kvasir_val50,20260522,cju14hjh2ob2o0835ouz3r5aa,0.751268744468689,0.5807859301567078,2.195303440093994
